IBOV - Carteira Mai. a Ago. 2023
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;4.386.652.506;3,380;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,082;
ALSO3;ALIANSCSONAE;ON      NM;532.365.440;0,525;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,219;
ASAI3;ASSAI;ON  ED  NM;1.190.824.431;0,796;
AZUL4;AZUL;PN      N2;327.646.296;0,194;
B3SA3;B3;ON      NM;5.733.398.051;3,644;
BBAS3;BRASIL;ON      NM;1.420.731.069;3,314;
BBDC3;BRADESCO;ON      N1;1.500.631.902;1,014;
BBDC4;BRADESCO;PN      N1;5.146.612.491;3,879;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;1,254;
BEEF3;MINERVA;ON  ED  NM;260.340.982;0,121;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,562;
BRAP4;BRADESPAR;PN  ED  N1;251.008.334;0,324;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,371;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,286;
CASH3;MELIUZ;ON  ES  NM;691.552.778;0,032;
CCRO3;CCR SA;ON  ED  NM;998.462.635;0,737;
CIEL3;CIELO;ON      NM;1.095.401.258;0,325;
CMIG4;CEMIG;PN  ED  N1;1.442.098.974;0,969;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,273;
COGN3;COGNA ON;ON      NM;1.815.524.541;0,202;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,317;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,682;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,309;
CSAN3;COSAN;ON      NM;1.171.063.698;0,955;
CSNA3;SID NACIONAL;ON;589.695.175;0,417;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,041;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,231;
DXCO3;DEXCO;ON      NM;274.863.424;0,088;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,573;
ELET3;ELETROBRAS;ON  ED  N1;2.019.004.498;3,719;
ELET6;ELETROBRAS;PNB ED  N1;275.526.814;0,546;
EMBR3;EMBRAER;ON      NM;734.632.205;0,776;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,301;
ENEV3;ENEVA;ON      NM;1.577.877.205;0,975;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,565;
EQTL3;EQUATORIAL;ON      NM;1.115.920.673;1,637;
EZTC3;EZTEC;ON      NM;94.318.339;0,075;
FLRY3;FLEURY;ON      NM;402.677.569;0,318;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,498;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,423;
GOLL4;GOL;PN      N2;218.221.868;0,079;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,649;
HYPE3;HYPERA;ON      NM;400.842.480;0,813;
IGTI11;IGUATEMI S.A;UNT ED  N1;215.741.055;0,239;
IRBR3;IRBBRASIL RE;ON      NM;81.445.253;0,139;
ITSA4;ITAUSA;PN      N1;5.014.245.900;2,369;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.630.041;6,769;
JBSS3;JBS;ON      NM;1.134.986.483;1,106;
KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,731;
LREN3;LOJAS RENNER;ON      NM;950.702.967;0,820;
LWSA3;LOCAWEB;ON      NM;430.758.874;0,123;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,522;
MRFG3;MARFRIG;ON      NM;292.587.273;0,104;
MRVE3;MRV;ON      NM;305.322.465;0,120;
MULT3;MULTIPLAN;ON      N2;266.933.994;0,376;
NTCO3;GRUPO NATURA;ON      NM;838.904.847;0,505;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,129;
PETR3;PETROBRAS;ON  EDR N2;2.990.884.064;4,341;
PETR4;PETROBRAS;PN  EDR N2;4.566.511.125;5,890;
PETZ3;PETZ;ON  ED  NM;335.865.260;0,113;
PRIO3;PETRORIO;ON      NM;839.159.130;1,587;
RADL3;RAIADROGASIL;ON  ED  NM;1.119.187.853;1,601;
RAIL3;RUMO S.A.;ON  ED  NM;1.215.642.613;1,303;
RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,208;
RDOR3;REDE D OR;ON      NM;1.095.177.074;1,363;
RENT3;LOCALIZA;ON      NM;773.535.098;2,442;
RRRP3;3R PETROLEUM;ON  ES  NM;234.689.601;0,404;
SANB11;SANTANDER BR;UNT EJ;355.642.848;0,520;
SBSP3;SABESP;ON      NM;340.002.999;0,833;
SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,228;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,245;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,222;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,574;
TAEE11;TAESA;UNT     N2;218.568.234;0,434;
TIMS3;TIM;ON  EJ  NM;808.436.195;0,616;
TOTS3;TOTVS;ON      NM;513.869.896;0,718;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,855;
USIM5;USIMINAS;PNA ED  N1;515.014.562;0,202;
VALE3;VALE;ON      NM;4.035.078.991;15,899;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,801;
VIIA3;VIA;ON      NM;1.576.975.642;0,158;
VIVT3;TELEF BRASIL;ON;423.091.712;0,947;
WEGE3;WEG;ON      NM;1.260.665.218;2,821;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,131;
Quantidade Teórica Total;;;96.386.028.069;100,000
Redutor;;;17.595.356,78162836
